Continent,Year,Nitrogen oxide (NOx),Sulphur dioxide (SO₂) emissions,Carbon monoxide (CO) emissions,Black carbon (BC) emissions,Ammonia (NH₃) emissions,Non-methane volatile organic compounds (NMVOC) emissions
Europe,1935,4236161.6959805,16612024.6207107,69249354.2449,695732.0366682,3827052.7813959997,8702481.98756
Europe,1936,4491149.537518,17586000.409363702,70402926.8056,715183.402814,3883256.01223,8886798.15218
Europe,1937,4848549.1851463,19227926.6381821,72594993.67755,752631.9363470001,3931203.39866,9110224.03824
Europe,1938,4960522.29864,19697588.4899263,71464476.9356,738420.7819765001,3968193.8760639997,9136080.77739
Europe,1939,5034048.5484563,20332128.4358861,71868418.41075,746539.4903716,3995318.941856,9176161.222035
Europe,1940,5370590.3474597,22229193.746265702,71780918.33809,766566.2734817,4015167.902394,9210330.019055
Europe,1941,5121823.749726,21669315.968251,70953449.34167,773965.2066443,4005220.112362,9016665.91617
Europe,1942,4849779.8155815,21105622.1945443,70101049.52356,775838.2184481,3974934.252294,8856207.74226
Europe,1943,4985756.4978794,21838692.6962355,70105713.06884,794488.8146635001,3961743.568326,8838770.58467
Europe,1944,4711172.8187196,19792742.6900612,66000814.7921,740647.9121356,3956887.948554,8649123.292654
Europe,1945,3412644.718551,13931413.2015385,56631488.252059996,551726.6116713,3942529.341707,7620278.5049600005
Europe,1946,4135745.6681883,16227284.120377,61607258.4226,643866.3090477,3982089.890315,8085323.340736
Europe,1947,4810597.1294495,18036337.6888191,63814497.80876,668355.0628615,4039205.9224810004,8625960.576665
Europe,1948,5308469.2103717,19505910.7197623,65568603.9076,681423.8009107,4089586.063685,9008416.53364
Europe,1949,5747524.43812,21418648.772785,67337990.90484,699007.9594646,4179517.044464,9349184.87163
Europe,1950,6245134.063161,22853784.739911,68187385.55412,701954.2088217,4255619.0901029995,9690985.098439999
Europe,1951,6877147.284306,24781499.0979085,69583202.6893,741562.4611001001,4401606.691235,10226500.718969999
Europe,1952,7180413.600055,25950544.9616134,68762011.74627,756500.2992971,4531417.081883,10472155.878996
Europe,1953,7467306.838227,26682125.8660758,67622918.4592,767239.9679274999,4662115.0169440005,10704202.812215
Europe,1954,8029857.907326,28276131.9624561,68008862.87944,800820.759653,4768871.336184,11194001.650104
Europe,1955,8785411.824229,30380552.7402835,69001021.35855,840464.0303231,4845879.896797,11891918.14815
Europe,1956,9444998.962895999,32073116.595156997,69941669.8401,887661.1233671,4927381.450255,12576203.269229999
Europe,1957,9972375.255104,33511703.5966916,69477963.49242,912118.1787951,5032604.4270359995,13027486.734900001
Europe,1958,10375084.175812,34039906.409937695,68020177.0275,917231.1468253001,5164813.4260100005,13490420.31542
Europe,1959,10864234.999614,34899822.9150676,67232467.39903,923137.3331329001,5294293.546084,14008010.43065
Europe,1960,11695194.54612755,36567727.026760384,68907004.2225924,961317.479608495,5376708.550063,14823381.3089801
Europe,1961,12384149.821283761,37911894.46061013,68093705.2570698,969637.057972166,5397852.13982,15428965.23348578
Europe,1962,13304920.08641433,40191362.6010184,69522406.1465978,1025469.597661796,5637369.960842,16356323.107302781
Europe,1963,14311224.0941074,41924292.50136113,71721001.9356488,1084556.61825651,5822595.388058,17395990.94231123
Europe,1964,15133507.469691701,44185768.822412476,70748256.186469,1083321.661741257,6075013.1118870005,18331087.98084784
Europe,1965,15819963.92142318,44655832.43972748,70853284.9522902,1091170.200094768,6412030.314847,19054117.36229856
Europe,1966,16467525.157427631,44783840.25110232,70074213.4103137,1034696.31783287,6670901.835628,19734836.91191355
Europe,1967,17120121.14185232,45010268.855284035,70535772.0266594,989256.383053184,6989522.945314,20450673.3124129
Europe,1968,18040701.76513055,46058644.62318089,72628829.2343236,970157.9794790599,7296380.231453,21390925.7534166
Europe,1969,18957779.21346353,48034482.15768536,75513121.2803076,960026.575810974,7487253.292975,22398568.9305429
Europe,1970,20476870.59451677,50590001.12863365,78807141.2251795,962918.5475978,7993606.0178229995,23721749.41839296
Europe,1971,21333896.4205565,50994890.45830482,79807294.23026499,935298.7190402,8238501.511414999,24447260.97504744
Europe,1972,22313070.814259402,52289636.66517319,81080873.961741,935155.93011814,8383905.271775,24934258.1437736
Europe,1973,23915078.9309956,54951446.66105539,83821776.364909,956448.95392399,8569243.022892,25543847.033262
Europe,1974,24299892.40703636,55250712.49882142,82526050.8228367,948374.97231542,8729872.680104,25248572.4965483
Europe,1975,25088259.14036558,55146865.18245923,85528791.066098,943692.94631288,8960399.712584,25448674.99634944
Europe,1976,26385794.26701933,57985644.01073076,86827193.5984423,966089.67328202,9005355.643159,25997736.0224682
Europe,1977,26854277.28348795,57041236.16071283,88375807.3147675,973031.42188258,9151079.651196001,26428413.4543711
Europe,1978,27681893.574462168,58188891.431142405,90372249.5401217,992873.87664707,9497787.669395,27094462.348461002
Europe,1979,28551251.250047628,59636688.30888506,92153890.624716,1003923.00727369,9645865.098428,27619461.0792185
Europe,1980,28525932.8278373,60443063.91530777,90268037.806793,995399.843094105,9649566.448017,27735560.540737398
Europe,1981,27959578.1832436,58073536.97040045,88171983.3042286,958834.31038743,9707666.016668,27297003.8089971
Europe,1982,27856981.491024658,56468082.0151913,87674178.343844,947353.61164377,9756686.487499,27213737.3905088
Europe,1983,27789209.850796998,54403511.778997,86427424.752589,927580.63163798,9835837.078833,26871984.2305897
Europe,1984,27771417.84760147,53009371.85473348,87299569.6539495,905786.530109606,9958193.835747,26842759.1250441
Europe,1985,27921023.9717157,52317265.01531313,88383137.200498,894650.273070115,10083507.874718,26177098.1073899
Europe,1986,28817702.526177302,51247008.206704244,90028309.3643215,935050.64736858,10161643.076993,26651683.0736183
Europe,1987,29605558.599745803,51014957.96084932,91340125.2822456,941105.00997208,10129985.545647,26868100.3615527
